Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория комиссии;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Вывезти и нанести КИЗ (кроме Твери), шт;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
'074611871-черный-36;29858315;184574746;4811566375282;Оксфорды Shuzzi для мальчиков;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:22;;'5.85;'1.2;0;0;0;0;0;0;2078.00;5195.00;;10%
'07405131-черный-39;29858316;184573618;4811566145045;Полуботинки Enjoin' женские;'50;Enjoin;Готов к продаже;;3;'0.00;Показывается;;03.08.2020 12:22;;'4.86;'1.0;0;0;0;0;0;0;1156.00;2312.00;;20%
'058316904-синий-44;29858317;184575313;4811566373974;Кеды мужские, полуботинки спортивные;'80;X-Plode;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:22;;'7.96;'1.6;0;0;0;0;0;0;2004.00;5010.00;;20%
'058316904-синий-40;29858318;184575321;4811566373936;Кеды мужские, полуботинки спортивные;'80;X-Plode;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:22;;'7.96;'1.6;0;0;0;0;0;0;2004.00;5010.00;;20%
'058316904-синий-42;29858319;184575324;4811566373950;Кеды мужские, полуботинки спортивные;'80;X-Plode;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:22;;'7.96;'1.6;0;0;0;0;0;0;2004.00;5010.00;;20%
'058316904-синий-43;29858320;184575323;4811566373967;Кеды мужские, полуботинки спортивные;'80;X-Plode;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:22;;'7.96;'1.6;0;0;0;0;0;0;2004.00;5010.00;;20%
'058316904-синий-41;29858321;184435038;4811566373943;Кеды мужские, полуботинки спортивные;'80;X-Plode;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:22;;'7.96;'1.6;0;0;0;0;0;0;2004.00;5010.00;;20%
'05585157-синий-46;29858323;184578621;4811566376166;Кроссовки мужские, полуботинк спортивные, ботинки для мужчин;'65;O.Live naturalle;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:22;;'7.96;'1.6;0;0;0;0;0;0;1799.00;4497.00;;20%
'058000349-синий-39;29858324;184389784;4811566357868;Полуботинки O.Live naturalle женские / Полуботинки женские кожаные / Полуботинки на шнуровке / Полуботинки женские осень;'65;O.Live naturalle;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:22;;'4.80;'1.0;0;0;0;0;0;0;4799.00;9598.00;;20%
'058000349-синий-41;29858325;184389794;4811566357882;Полуботинки O.Live naturalle женские / Полуботинки женские кожаные / Полуботинки на шнуровке / Полуботинки женские осень;'65;O.Live naturalle;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:22;;'4.80;'1.0;0;0;0;0;0;0;4799.00;9598.00;;20%
'058000349-синий-40;29858326;184389791;4811566357875;Полуботинки O.Live naturalle женские / Полуботинки женские кожаные / Полуботинки на шнуровке / Полуботинки женские осень;'65;O.Live naturalle;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:22;;'4.80;'1.0;0;0;0;0;0;0;4799.00;9598.00;;20%
'058000349-синий-38;29858327;184389792;4811566357851;Полуботинки O.Live naturalle женские / Полуботинки женские кожаные / Полуботинки на шнуровке / Полуботинки женские осень;'65;O.Live naturalle;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:22;;'4.80;'1.0;0;0;0;0;0;0;4799.00;9598.00;;20%
